valid_time,latitude,longitude,number,expver,d2m,t2m,skt,stl1,stl2,stl3,stl4
2000-01-01,45.7,3.1,0,0001,271.61633,273.55457,271.8533,273.67154,274.22733,276.09286,279.96063
2000-01-01,45.7,3.2,0,0001,271.88,273.81042,271.9861,273.8942,274.4578,276.3585,280.279
2000-01-01,45.6,3.1,0,0001,271.44446,273.2694,271.5447,273.8063,274.33865,276.16122,279.95282
2000-01-01,45.6,3.2,0,0001,271.7257,273.578,271.67752,273.8903,274.4363,276.2999,280.18915
2000-02-01,45.7,3.1,0,0001,274.2038,277.49805,276.83124,276.6759,276.50793,276.44196,278.00046
2000-02-01,45.7,3.2,0,0001,274.52216,277.78516,276.97968,276.89465,276.74622,276.70172,278.2739
2000-02-01,45.6,3.1,0,0001,274.0534,277.28125,276.58905,276.53723,276.43762,276.4615,278.04538
2000-02-01,45.6,3.2,0,0001,274.3874,277.60742,276.7492,276.70715,276.60754,276.6275,278.2153
2000-03-01,45.7,3.1,0,0001,273.8452,278.00778,277.79504,278.04703,278.0177,277.86444,277.65216
2000-03-01,45.7,3.2,0,0001,274.21436,278.4316,278.04114,278.31265,278.27356,278.10077,277.90216
2000-03-01,45.6,3.1,0,0001,273.7124,277.82614,277.54504,277.79312,277.7755,277.67303,277.6131
2000-03-01,45.6,3.2,0,0001,274.11084,278.2949,277.83606,278.0939,278.05676,277.90546,277.7928
2000-04-01,45.7,3.1,0,0001,276.7754,281.38428,281.42255,281.36243,280.8542,279.56635,278.088
2000-04-01,45.7,3.2,0,0001,277.17773,281.90967,281.78778,281.76672,281.25262,279.92963,278.37122
2000-04-01,45.6,3.1,0,0001,276.71484,281.18506,281.1784,281.13,280.6374,279.3847,277.97864
2000-04-01,45.6,3.2,0,0001,277.14258,281.76318,281.5827,281.56946,281.06317,279.7597,278.22864
2000-05-01,45.7,3.1,0,0001,281.95172,286.3803,286.49896,286.41013,285.784,283.85626,280.0475
2000-05-01,45.7,3.2,0,0001,282.45758,286.95648,286.88373,286.83395,286.20197,284.24493,280.38342
2000-05-01,45.6,3.1,0,0001,281.89703,286.22797,286.28998,286.19724,285.5711,283.64532,279.88733
2000-05-01,45.6,3.2,0,0001,282.41852,286.8471,286.70404,286.65622,286.02228,284.06134,280.21936
2000-06-01,45.7,3.1,0,0001,283.73956,289.34,289.57803,289.44223,288.69165,286.5426,282.53693
2000-06-01,45.7,3.2,0,0001,284.1302,289.81265,289.8964,289.8231,289.0725,286.9215,282.90802
2000-06-01,45.6,3.1,0,0001,283.66925,289.14078,289.35538,289.21567,288.46704,286.32776,282.35333
2000-06-01,45.6,3.2,0,0001,284.0794,289.66617,289.69717,289.62582,288.87134,286.73206,282.7381
2000-07-01,45.7,3.1,0,0001,283.45227,288.67572,288.82928,289.09003,288.73297,287.57553,284.81207
2000-07-01,45.7,3.2,0,0001,283.82336,289.26947,289.2824,289.5822,289.2115,288.00912,285.20465
2000-07-01,45.6,3.1,0,0001,283.39172,288.54486,288.63202,288.8791,288.52594,287.3763,284.6148
2000-07-01,45.6,3.2,0,0001,283.76672,289.20502,289.14178,289.43573,289.0611,287.85092,285.03278
2000-08-01,45.7,3.1,0,0001,285.77356,291.86566,291.7342,291.8495,291.35553,289.7306,286.53156
2000-08-01,45.7,3.2,0,0001,286.10754,292.50433,292.2088,292.37097,291.85358,290.1759,286.94562
2000-08-01,45.6,3.1,0,0001,285.72083,291.74066,291.46466,291.5702,291.08405,289.4806,286.32062
2000-08-01,45.6,3.2,0,0001,286.05676,292.44965,292.03497,292.19714,291.67584,290.00012,286.77765
2000-09-01,45.7,3.1,0,0001,283.35178,288.13864,287.83118,288.4079,288.5129,288.65808,287.88745
2000-09-01,45.7,3.2,0,0001,283.676,288.61325,288.14368,288.75165,288.86447,289.0409,288.2976
2000-09-01,45.6,3.1,0,0001,283.26974,287.98434,287.60657,288.16376,288.27072,288.4159,287.6609
2000-09-01,45.6,3.2,0,0001,283.61545,288.54294,287.95618,288.5583,288.6711,288.8534,288.12378
2000-10-01,45.7,3.1,0,0001,279.69818,283.0027,282.6172,283.3758,283.85535,285.28015,287.39435
2000-10-01,45.7,3.2,0,0001,280.03802,283.41284,282.84375,283.61993,284.10535,285.5829,287.77325
2000-10-01,45.6,3.1,0,0001,279.64154,282.81323,282.41406,283.159,283.63855,285.0614,287.1678
2000-10-01,45.6,3.2,0,0001,279.99506,283.26636,282.66602,283.4383,283.9276,285.4071,287.59747
2000-11-01,45.7,3.1,0,0001,276.70102,279.37607,278.85504,279.63037,280.20044,282.07953,285.60284
2000-11-01,45.7,3.2,0,0001,276.98813,279.81357,279.1187,279.89404,280.46802,282.35492,285.93292
2000-11-01,45.6,3.1,0,0001,276.67368,279.12802,278.62262,279.38037,279.95435,281.84125,285.37433
2000-11-01,45.6,3.2,0,0001,276.97055,279.60263,278.90973,279.6831,280.25903,282.15375,285.74542
2000-12-01,45.7,3.1,0,0001,275.13303,278.844,277.98053,278.77875,279.38254,280.93076,283.5866
2000-12-01,45.7,3.2,0,0001,275.41818,279.12134,278.05475,278.86078,279.48215,281.08115,283.85028
2000-12-01,45.6,3.1,0,0001,275.0627,278.52954,277.6407,278.45648,279.06027,280.62216,283.33466
2000-12-01,45.6,3.2,0,0001,275.34787,278.8108,277.71295,278.5346,279.15793,280.78232,283.62762
2001-01-01,45.7,3.1,0,0001,273.85626,276.6421,275.8099,276.44977,276.89212,278.3515,281.5488
2001-01-01,45.7,3.2,0,0001,274.17267,277.02686,276.03842,276.7115,277.1382,278.5605,281.75192
2001-01-01,45.6,3.1,0,0001,273.84845,276.49756,275.63998,276.399,276.8101,278.19135,281.30075
2001-01-01,45.6,3.2,0,0001,274.17853,276.89795,275.8685,276.60992,277.01712,278.39252,281.51755
2001-02-01,45.7,3.1,0,0001,272.85632,276.15964,275.52914,276.21252,276.5077,277.5437,279.79562
2001-02-01,45.7,3.2,0,0001,273.2118,276.50143,275.71274,276.47424,276.77332,277.80347,280.01047
2001-02-01,45.6,3.1,0,0001,272.7196,275.92722,275.285,276.19495,276.50378,277.50854,279.63547
2001-02-01,45.6,3.2,0,0001,273.08875,276.30417,275.49985,276.37268,276.67566,277.68042,279.81906
2001-03-01,45.7,3.1,0,0001,277.454,281.09497,280.70215,280.57553,280.1797,279.2351,278.96375
2001-03-01,45.7,3.2,0,0001,277.83878,281.64185,281.0459,280.93686,280.53125,279.5398,279.1942
2001-03-01,45.6,3.1,0,0001,277.45206,280.9192,280.5088,280.4017,280.01562,279.10034,278.83484
2001-03-01,45.6,3.2,0,0001,277.8505,281.50513,280.89746,280.79233,280.38672,279.40112,279.0321
2001-04-01,45.7,3.1,0,0001,275.7398,279.60968,279.73367,280.12613,280.05035,279.9131,279.55463
2001-04-01,45.7,3.2,0,0001,276.18903,280.14288,280.13602,280.54214,280.45074,280.2744,279.8437
2001-04-01,45.6,3.1,0,0001,275.66754,279.41827,279.54617,279.9191,279.84332,279.71582,279.39642
2001-04-01,45.6,3.2,0,0001,276.1324,280.0003,279.9993,280.3976,280.30035,280.1162,279.68158
2001-05-01,45.7,3.1,0,0001,282.24615,286.17377,286.29907,286.0,285.17053,282.9155,280.23325
2001-05-01,45.7,3.2,0,0001,282.76178,286.71088,286.69556,286.4453,285.6139,283.34518,280.59067
